group,session,date,end_date,title,flag,deadline,lecture,quiz,content,lab,assignment,note
Week 1,Lecture 1,2026-01-28,,Introduction to Web Page Designing & Web Development Strategies,,,lectures/lecture-01,quiz/lecture-01-quiz,content/week-01,,,
Week 1,Lab 1,2026-01-28,,Development Environment Setup,,23:59:00,,,,labs/lab-01,,Submit before next session
Week 1,Lecture 2,2026-01-29,,"History of Web & Internet, Protocols Governing the Web",,,lectures/lecture-02,quiz/lecture-02-quiz,content/week-01,,,
Week 1,Lecture 3,2026-01-29,,"HTML Introduction & Basic Structure, HTML Tags",,,lectures/lecture-03,quiz/lecture-03-quiz,content/week-01,,,
Week 1,Lecture 4,2026-01-30,,HTML Grouping: Div & Span,,,lectures/lecture-04,quiz/lecture-04-quiz,content/week-01,,,
Week 2,Lecture 5,2026-02-02,,"HTML Lists (Ordered, Unordered, Description)",,,lectures/lecture-05,quiz/lecture-05-quiz,content/week-02,,,
Week 2,Lecture 6,2026-02-03,,HTML Images & Hyperlinks,,,lectures/lecture-06,quiz/lecture-06-quiz,content/week-02,,,
Week 2,Lecture 7,2026-02-04,,HTML Tables & Iframes,,,lectures/lecture-07,quiz/lecture-07-quiz,content/week-02,,,
Week 2,Lab 2,2026-02-04,,"Lists, Frames, and Media Embedding",,23:59:00,,,,labs/lab-02,,Submit before next session
Week 2,Lecture 8,2026-02-05,,HTML Forms & Form Elements,,,lectures/lecture-08,quiz/lecture-08-quiz,content/week-02,,,
Week 3,Lecture 9,2026-02-06,,CSS Introduction & CSS Syntax,,,lectures/lecture-09,quiz/lecture-09-quiz,content/week-03,,,
Week 3,Lecture 10,2026-02-09,,"External Style Sheets, Multiple Style Sheets",,,lectures/lecture-10,quiz/lecture-10-quiz,content/week-03,,,
Week 3,Lecture 11,2026-02-10,,"CSS Value Lengths, Percentages, Selectors",,,lectures/lecture-11,quiz/lecture-11-quiz,content/week-03,,,
Week 3,Lecture 12,2026-02-11,,"CSS Box Model, Float & Clear",,,lectures/lecture-12,quiz/lecture-12-quiz,content/week-03,,,
Week 3,Lab 3,2026-02-11,,CSS Design and JavaScript Validation,,23:59:00,,,,labs/lab-03,,Submit before next session
Week 3,Home Assignment 1,2026-02-11,,HTML Website with Forms,TRUE,23:59:00,,,,,assignment/01-assignment,Submission deadline
Week 4,Lecture 13,2026-02-12,,Introduction to Bootstrap,,,lectures/lecture-13,quiz/lecture-13-quiz,content/week-04,,,
Week 4,Lecture 14,2026-02-13,,Revision & Practical Exercise (HTML + CSS + Bootstrap),,,lectures/lecture-14,quiz/lecture-14-quiz,content/week-04,,,
Week 4,Lecture 15,2026-02-16,,Introduction to JavaScript & Variables,,,lectures/lecture-15,quiz/lecture-15-quiz,content/week-04,,,
Week 4,Lecture 16,2026-02-17,,Functions in JavaScript & Returning Data,,,lectures/lecture-16,quiz/lecture-16-quiz,content/week-04,,,
Week 4,Lecture 17,2026-02-18,,UI Events & Event Handling,,,lectures/lecture-17,quiz/lecture-17-quiz,content/week-05,,,
Week 4,Lab 4,2026-02-18,,JavaScript Array Methods and Nested Functions,,23:59:00,,,,labs/lab-04,,Submit before next session
Week 5,Lecture 18,2026-02-19,,Conditions & Looping in JavaScript,,,lectures/lecture-18,quiz/lecture-18-quiz,content/week-05,,,
Week 5,Lecture 19,2026-02-23,,"Block Scope Variables (let, const)",,,lectures/lecture-19,quiz/lecture-19-quiz,content/week-05,,,
Week 5,Lecture 20,2026-02-24,,Objects & Object Literals,,,lectures/lecture-20,quiz/lecture-20-quiz,content/week-05,,,
Week 5,Lecture 21,2026-02-25,,DOM Manipulation using JavaScript,,,lectures/lecture-21,quiz/lecture-21-quiz,content/week-08,,,
Week 5,Lab 5,2026-02-25,,"Browser Information, Objects, and Script Reuse",,23:59:00,,,,labs/lab-05,,Submit before next session
Week 5,Home Assignment 2,2026-02-25,,Interactive Web Page,TRUE,23:59:00,,,,,assignment/02-assignment,Submission deadline
Week 6,Lecture 22,2026-02-26,,Revision & Mini Project (JavaScript & DOM),,,lectures/lecture-22,quiz/lecture-22-quiz,content/week-08,,,
Week 6,Lecture 23,2026-02-27,,Servlet Overview & Architecture,,,lectures/lecture-23,quiz/lecture-23-quiz,content/week-08,,,
Week 6,Revision,2026-03-02,,Unit I Web Page Designing,,,lectures/revision-unit-1,quiz/revision-unit-1-quiz,content/week-06,,,
Week 6,Revision,2026-03-03,,Unit II JavaScript,,,lectures/revision-unit-2,quiz/revision-unit-2-quiz,content/week-06,,,
Week 7,Lecture 24,2026-03-06,,Servlet Interface & Life Cycle,,,lectures/lecture-24,quiz/lecture-24-quiz,content/week-08,,,
Week 7,Lecture 25,2026-03-09,,Handling HTTP GET & POST Requests,,,lectures/lecture-25,quiz/lecture-25-quiz,content/week-09,,,
Week 7,Lecture 26,2026-03-10,,Redirecting Requests & Request Dispatching,,,lectures/lecture-26,quiz/lecture-26-quiz,content/week-09,,,
Week 7,Mid-Sem Exam,2026-03-10,2026-03-14,Written Test on Units I and II,TRUE,,,,,,,Exam window
Week 7,Lecture 27,2026-03-11,,Cookies & Session Tracking,,,lectures/lecture-27,quiz/lecture-27-quiz,content/week-09,,,
